time;volume;open;high;low;close;;dif;dir;token;;shadow_down;shadow_up
30.06.22 18:00;47811759;1024,5;1039,8;1021,95;1030,15;;май.65;+;ETHUSD;;2.5499999999999545;9.649999999999864
30.06.22 19:00;41186492;1030,15;1045,8;1022,1;1031,65;;01.май;+;ETHUSD;;8.050000000000068;14.149999999999864
30.06.22 20:00;9700276;1031,65;1038,9;1027,15;1031,1;;0.55;-;ETHUSD;;3.949999999999818;июл.25
30.06.22 21:00;9531096;1031,1;1032,55;1015;1019,7;;11.апр;-;ETHUSD;;4.7000000000000455;1.4500000000000455
30.06.22 22:00;18308554;1019,7;1023,75;1008,15;1018,5;;01.фев;-;ETHUSD;;10.350000000000023;4.0499999999999545
30.06.22 23:00;39569594;1018,5;1030,5;1002,6;1009,35;;сен.15;-;ETHUSD;;июн.75;12.0
01.07.22 0:00;24029611;1009,35;1035,05;1008,6;1019,65;;10.мар;+;ETHUSD;;0.75;15.399999999999977
01.07.22 1:00;11044506;1019,65;1031,15;1012,3;1021,25;;01.июн;+;ETHUSD;;7.350000000000023;9.900000000000091
01.07.22 2:00;61729437;1021,25;1084,6;1015,2;1070,05;;48.8;+;ETHUSD;;6.0499999999999545;14.549999999999955
01.07.22 3:00;76277652;1070,05;1116,4;1048,3;1093,35;;23.мар;+;ETHUSD;;21.75;23.050000000000182
01.07.22 4:00;38156361;1093,35;1103,2;1081,2;1094,05;;0.7;+;ETHUSD;;12.149999999999864;9.150000000000091
01.07.22 5:00;15890529;1094,05;1105,85;1087,4;1090;;04.май;-;ETHUSD;;2.599999999999909;11.799999999999955
01.07.22 6:00;32155866;1090;1090,75;1051,95;1052;;38.0;-;ETHUSD;;0.049999999999954525;0.75
01.07.22 7:00;31033100;1052;1061,9;1041,6;1047,9;;04.янв;-;ETHUSD;;6.300000000000182;9.900000000000091
01.07.22 8:00;9917933;1047,9;1060,85;1044;1054,6;;06.июл;+;ETHUSD;;3.900000000000091;июн.25
01.07.22 9:00;7168513;1054,6;1057,2;1047,35;1053,65;;0.95;-;ETHUSD;;6.300000000000182;2.6000000000001364
01.07.22 10:00;8628316;1053,65;1073,95;1048,45;1064,1;;окт.45;+;ETHUSD;;5.2000000000000455;9.850000000000136
01.07.22 11:00;26349430;1064,1;1085,2;1060,05;1067,9;;03.авг;+;ETHUSD;;4.0499999999999545;17.299999999999955
01.07.22 12:00;9519722;1067,9;1073,2;1058,3;1061,5;;06.апр;-;ETHUSD;;3.2000000000000455;5.2999999999999545
01.07.22 13:00;38317275;1061,5;1066,25;1033,35;1037,45;;24.май;-;ETHUSD;;4.100000000000136;апр.75
01.07.22 14:00;35525787;1037,45;1049,95;1030,5;1047,8;;окт.35;+;ETHUSD;;6.9500000000000455;2.150000000000091
01.07.22 15:00;13123550;1047,8;1054,1;1040,4;1047,35;;0.45;-;ETHUSD;;6.949999999999818;6.2999999999999545
01.07.22 16:00;59177429;1047,35;1077,2;1041,8;1060,05;;12.июл;+;ETHUSD;;5.5499999999999545;17.15000000000009
01.07.22 17:00;40295073;1060,05;1064,95;1042,55;1054,85;;05.фев;-;ETHUSD;;12.299999999999955;4.900000000000091
01.07.22 18:00;7246175;1054,85;1063;1049,65;1054,6;;0.25;-;ETHUSD;;4.949999999999818;8.150000000000091
01.07.22 19:00;9687000;1054,6;1069,25;1052,5;1061,85;;июл.25;+;ETHUSD;;2.099999999999909;7.400000000000091
01.07.22 20:00;32918050;1061,85;1081,9;1059,4;1072,4;;окт.55;+;ETHUSD;;2.449999999999818;09.май
01.07.22 21:00;5182956;1072,4;1075,45;1066,2;1069,4;;3.0;-;ETHUSD;;3.2000000000000455;3.0499999999999545
