,time,open,close,low,high,diff,dir,token,dif,body,shadow_up,shadow_down
56,2022-06-07 05:00:00,1739.05,1731.0,1723.25,1739.5,8.05,-,ETHUSD,8.05,0.0,0.4500000000000455,7.75
57,2022-06-07 05:15:00,1731.0,1726.2,1721.95,1733.95,4.8,-,ETHUSD,4.8,0.0,2.9500000000000455,4.25
58,2022-06-07 05:30:00,1726.2,1733.1,1724.4,1735.95,6.9,+,ETHUSD,6.9,6.899999999999864,2.8500000000001364,1.7999999999999545
59,2022-06-07 05:45:00,1733.1,1738.2,1730.65,1740.4,5.1,+,ETHUSD,5.1,5.100000000000136,2.2000000000000455,2.449999999999818
60,2022-06-07 06:00:00,1738.2,1743.75,1734.3,1745.65,5.55,+,ETHUSD,5.55,5.5499999999999545,1.900000000000091,3.900000000000091
61,2022-06-07 06:15:00,1743.75,1751.85,1743.1,1757.55,8.1,+,ETHUSD,8.1,8.099999999999909,5.7000000000000455,0.650000000000091
62,2022-06-07 06:30:00,1751.85,1757.2,1751.05,1757.8,5.35,+,ETHUSD,5.35,5.350000000000136,0.599999999999909,0.7999999999999545
63,2022-06-07 06:45:00,1757.2,1753.75,1751.35,1758.05,3.45,-,ETHUSD,3.45,0.0,0.849999999999909,2.400000000000091
64,2022-06-07 07:00:00,1753.75,1747.0,1745.25,1755.9,6.75,-,ETHUSD,6.75,0.0,2.150000000000091,1.75
65,2022-06-07 07:15:00,1747.0,1755.65,1746.6,1755.8,8.65,+,ETHUSD,8.65,8.650000000000091,0.14999999999986358,0.40000000000009095
66,2022-06-07 07:30:00,1755.65,1751.0,1748.05,1756.5,4.65,-,ETHUSD,4.65,0.0,0.849999999999909,2.9500000000000455
67,2022-06-07 07:45:00,1751.0,1751.45,1748.9,1755.6,0.45,+,ETHUSD,0.45,0.4500000000000455,4.149999999999864,2.099999999999909
68,2022-06-07 08:00:00,1751.45,1749.65,1748.35,1753.75,1.8,-,ETHUSD,1.8,0.0,2.2999999999999545,1.300000000000182
69,2022-06-07 08:15:00,1749.65,1749.45,1746.6,1754.65,0.2,-,ETHUSD,0.2,0.0,5.0,2.8500000000001364
70,2022-06-07 08:30:00,1749.45,1752.05,1749.05,1755.35,2.6,+,ETHUSD,2.6,2.599999999999909,3.2999999999999545,0.40000000000009095
71,2022-06-07 08:45:00,1752.05,1752.45,1750.35,1762.55,0.4,+,ETHUSD,0.4,0.40000000000009095,10.099999999999909,1.7000000000000455
